Simulation Identification;PaperSimulation
175;108
176;108
177;108
178;108
179;108
180;108
181;108
182;108
183;108
184;108
185;108
186;108
187;108
188;108
189;108
190;108
191;108
192;108
193;108
194;108
195;108
196;108
197;108
198;108
199;108
200;108
201;108
202;108
203;108
204;108
205;108
206;108
207;108
208;108
209;108
210;108
211;108
212;108
213;108
214;108
215;108
216;108
217;108
218;108
219;108
220;108
221;108
222;108
223;108
224;108
225;108
226;108
227;108
228;108
229;108
230;108
231;108
232;108
233;108
234;108
235;108
236;108
237;108
238;108
239;108
240;108
241;108
242;108
243;108
244;108
245;108
246;108
247;108
248;108
249;108
250;108
251;108
252;108
253;108
254;108
255;108
256;108
257;108
258;108
259;108
260;108
261;108
262;108
263;108
264;108
265;108
266;108
267;108
268;108
269;108
270;108
271;108
272;108
273;108
274;108
275;108
276;108
277;108
278;108
279;108
280;108
281;108
282;78
283;18
284;18
285;18
286;18
287;18
288;18
289;18
290;18
291;18
292;18
293;18
294;18
295;18
296;18
297;18
298;18
299;18
300;18
301;18
302;18
303;18
304;18
305;18
306;18
307;18
308;18
309;18
310;18
311;18
312;18
313;18
314;18
315;18
316;18
317;18
318;18
319;18
320;18
321;18
322;18
323;18
324;18
325;18
326;18
327;18
328;18
329;18
330;18
331;18
332;18
333;18
334;18
335;18
336;18
337;18
338;18
339;18
340;18
341;18
342;18
343;18
344;18
345;18
346;18
347;18
348;18
349;18
350;18
351;18
352;18
353;18
354;18
355;18
356;18
357;18
358;18
359;18
360;18
361;18
362;18
363;18
364;18
365;18
366;18
367;18
368;18
369;18
370;18
371;18
372;18
373;18
374;18
375;18
376;18
377;18
378;18
379;18
380;18
381;5
eboracum.wsn.event.PeriodicEvent;E2_13;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode22;0;19221;2424;1;1212;34880214.9588
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode26;0;42426;13455;1;1035;29803906.05225
eboracum.wsn.event.PeriodicEvent;E2_29;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_31;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode3;0;9734;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_23;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_7;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_24;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode34;0;15197;3579;1;1193;34350943.12605
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode9;0;18066;2424;1;1212;34880214.9588
eboracum.wsn.event.PeriodicEvent;E2_9;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode27;0;38124;3579;1;1193;34350943.12605
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode16;0;18066;2424;1;1212;34880214.9588
eboracum.wsn.event.PeriodicEvent;E2_6;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_35;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode10;0;14487;2424;1;1212;34880214.9588
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode32;0;44767;1231;1;1231;35429900.58345
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode4;0;8541;1231;1;1231;35429900.58345
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode13;0;53454;3579;1;1193;34350943.12605
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode30;0;22118;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_25;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_32;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_4;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_10;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode6;0;17587;1231;1;1231;35429900.58345
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode20;0;55436;4700;1;1175;33835136.265
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode35;0;7234;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_34;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode5;0;4886;1231;1;1231;35429900.58345
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode28;0;23643;2424;1;1212;34880214.9588
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode29;0;10889;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_33;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode0;0;7162;1231;1;1231;35429900.58345
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode1;0;10817;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_18;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_5;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode21;0;36050;3579;1;1193;34350943.12605
eboracum.wsn.event.PeriodicEvent;E2_20;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode24;0;52168;1231;1;1231;35429900.58345
eboracum.wsn.event.PeriodicEvent;E2_12;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_11;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_19;E2;1232;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode8;0;21497;2424;1;1212;34880214.9588
eboracum.wsn.event.PeriodicEvent;E2_21;E2;1232;0
eboracum.wsn.event.PeriodicEvent;E2_26;E2;1232;0
Calculated Communication Cover;261.65
Calculated Path Loss;116.3
Path Loss Exponent n;3.5
PL(d0);50.0
