Simulation Identification;PaperSim2_
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode14;0;48616;17166;1;1145;32947539.3631
eboracum.wsn.event.PeriodicEvent;E1_33;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode32;0;13666;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode26;0;22489;5348;1;1337;38493545.5618
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode31;0;14982;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode10;0;23450;5348;1;1337;38493545.5618
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode5;0;8150;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode4;0;19631;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_13;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode20;0;45361;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode12;0;33495;28705;1;957;27532836.50925
eboracum.wsn.event.PeriodicEvent;E1_23;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode9;0;34806;10080;1;1260;36272975.928
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode23;0;11076;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode30;0;8233;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode16;0;30471;2758;1;1379;39709047.5803
eboracum.wsn.event.PeriodicEvent;E1_2;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_9;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode18;0;44269;7782;1;1297;37351626.0587
eboracum.wsn.event.PeriodicEvent;E1_26;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_3;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode28;0;16485;2758;1;1379;39709047.5803
eboracum.wsn.event.PeriodicEvent;E1_7;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_22;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode15;0;44816;4074;1;1358;39091202.7709
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode27;0;20454;2758;1;1379;39709047.5803
eboracum.wsn.event.PeriodicEvent;E1_0;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode7;0;52047;22281;1;1061;30547778.04085
eboracum.wsn.event.PeriodicEvent;E1_5;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_29;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode2;0;36498;2758;1;1379;39709047.5803
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode34;0;9719;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode21;0;38810;4074;1;1358;39091202.7709
eboracum.wsn.event.PeriodicEvent;E1_24;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode35;0;5560;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_27;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode8;0;60562;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_30;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_1;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode11;0;12309;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_11;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode33;0;13666;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_25;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode17;0;13666;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_28;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode6;0;55189;1413;1;1413;40692680.99
eboracum.wsn.event.PeriodicEvent;E1_34;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_14;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_21;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_15;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_4;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_19;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_31;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_32;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode24;0;20996;4074;1;1358;39091202.7709
eboracum.wsn.event.PeriodicEvent;E1_16;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode29;0;9719;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode22;0;20559;2758;1;1379;39709047.5803
eboracum.wsn.event.PeriodicEvent;E1_20;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode1;0;29242;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_17;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode19;0;67920;7782;1;1297;37351626.0587
eboracum.wsn.event.PeriodicEvent;E1_18;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode25;0;30502;2758;1;1379;39709047.5803
eboracum.wsn.event.PeriodicEvent;E1_6;E1;1414;0
eboracum.wsn.event.PeriodicEvent;E1_10;E1;1414;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode13;0;87919;1401;1;1401;40345899.33285
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode0;0;25083;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_8;E1;1414;0
Calculated Communication Cover;214.78
Calculated Path Loss;113.3
Path Loss Exponent n;3.5
PL(d0);50.0
