Simulation Identification;PaperSim2_
138;108
139;108
140;108
141;108
142;108
143;108
144;108
145;108
146;108
147;108
148;108
149;108
150;108
151;108
152;108
153;108
154;108
155;108
156;108
157;108
158;108
159;108
160;108
161;108
162;108
163;108
164;108
165;108
166;108
167;108
168;108
169;108
170;108
171;108
172;108
173;108
174;108
175;108
176;108
177;108
178;108
179;108
180;108
181;108
182;108
183;108
184;108
185;108
186;108
187;108
188;108
189;108
190;108
191;108
192;108
193;108
194;108
195;108
196;108
197;108
198;108
199;108
200;108
201;108
202;108
203;108
204;108
205;108
206;108
207;108
208;108
209;108
210;108
211;108
212;108
213;108
214;108
215;108
216;108
217;108
218;108
219;108
220;108
221;108
222;108
223;108
224;108
225;108
226;108
227;108
228;108
229;108
230;108
231;108
232;108
233;108
234;108
235;108
236;108
237;108
238;108
239;108
240;108
241;108
242;108
243;108
244;108
245;108
246;108
247;108
248;108
249;108
250;108
251;108
252;108
253;108
254;108
255;108
256;108
257;108
258;108
259;108
260;108
261;108
262;108
263;108
264;108
265;108
266;108
267;108
268;108
269;108
270;108
271;108
272;108
273;108
274;108
275;108
276;108
277;108
278;108
279;108
280;108
281;108
282;108
283;108
284;108
285;108
286;108
287;108
288;108
289;108
290;108
291;108
292;108
293;108
294;108
295;108
296;108
297;108
298;108
299;108
300;108
301;108
302;108
303;108
304;108
305;108
306;108
307;108
308;108
309;108
310;108
311;108
312;108
313;108
314;108
315;108
316;108
317;108
318;108
319;108
320;108
321;108
322;108
323;108
324;108
325;108
326;108
327;108
328;108
329;108
330;108
331;108
332;108
333;108
334;108
335;108
336;108
337;108
338;108
339;108
340;108
341;108
342;108
343;108
344;108
345;108
346;108
347;108
348;108
349;108
350;108
351;108
352;108
353;108
354;108
355;108
356;108
357;108
358;108
359;84
360;72
361;72
362;72
363;72
364;72
365;72
366;61
367;39
368;39
369;39
370;39
371;39
372;39
373;39
374;39
375;39
376;39
377;39
378;39
379;39
380;39
381;39
382;39
383;39
384;39
385;39
386;39
387;39
388;39
389;39
390;39
391;39
392;39
393;39
394;39
395;39
396;39
397;39
398;39
399;39
400;39
401;39
402;39
403;39
404;39
405;39
406;39
407;39
408;39
409;27
410;21
411;21
412;21
413;21
414;21
415;21
416;21
417;21
418;21
419;21
420;21
421;21
422;21
423;21
424;21
425;21
426;21
427;21
428;21
429;21
430;21
431;21
432;21
433;21
434;21
435;21
436;21
437;21
438;21
439;21
440;21
441;21
442;21
443;21
444;21
445;21
446;21
447;21
448;21
449;21
450;21
451;13
452;9
453;9
454;9
455;9
456;9
457;9
458;9
459;9
460;9
461;9
462;9
463;2
eboracum.wsn.event.PeriodicEvent;E4_6;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_20;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_27;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_12;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode27;0;36970;2702;1;1351;38894404.4216
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode9;0;43740;5140;1;1285;36991742.312
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode21;0;58187;3951;1;1317;37919792.2908
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode2;0;38293;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode7;0;57458;2702;1;1351;38894404.4216
eboracum.wsn.event.PeriodicEvent;E4_10;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode11;0;17623;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_25;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode8;0;60587;5140;1;1285;36991742.312
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode34;0;19064;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_18;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode14;0;72217;2702;1;1351;38894404.4216
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode6;0;48409;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode23;0;20523;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_24;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_16;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode28;0;25927;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode31;0;25093;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_30;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_14;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_33;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_4;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode20;0;72217;2702;1;1351;38894404.4216
eboracum.wsn.event.PeriodicEvent;E4_26;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode24;0;45971;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_15;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode30;0;18302;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode15;0;61861;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_5;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_17;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_28;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_31;E4;1388;0
eboracum.wsn.event.PeriodicEvent;E4_1;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode16;0;37594;1387;1;1387;39920374.9196
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode25;0;55182;2702;1;1351;38894404.4216
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode10;0;30803;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_29;E4;1388;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode3;0;26780;1387;1;1387;39920374.9196
eboracum.wsn.event.PeriodicEvent;E4_2;E4;1388;0
Calculated Communication Cover;388.28
Calculated Path Loss;122.3
Path Loss Exponent n;3.5
PL(d0);50.0
